h_county_tract,average_commute_time,average_walk_distance,number_of_commuters
081000700,803.330827068,307.296906787,798
081000800,1826.81294964,541.021217827,556
081001000,1569.12244898,496.554972775,588
081001200,1393.08190709,413.602221187,818
081001400,1425.69581281,417.738828872,812
081001600,1761.10232558,630.141966507,645
081001800,1571.27115717,452.295593139,579
081001900,1338.20408163,403.878646063,245
081002000,1780.72746331,498.614679843,477
081002200,1763.97651663,498.449424097,511
081002400,1760.99482759,556.855645772,580
081002500,825.884681583,271.082975185,1162
081002600,1806.26156942,557.937514665,497
081002800,1583.9902507,516.165193613,718
081003000,1870.52279635,630.203206617,329
081003100,1307.70134228,488.540660265,298
081003200,2053.46420323,548.842283629,433
081003300,912.701201201,380.771266611,666
081003400,1843.06712963,543.97798691,432
081003600,1771.78836834,619.071529411,619
081003700,1927.09022556,619.894360221,133
081003800,1832.45168539,530.837160478,445
081003900,1372.48055556,450.602450751,360
081004001,1739.89852008,474.136094675,473
081004002,2131.87108014,504.394284298,287
081004200,1543.74854651,486.65998036,688
081004300,1516.90180361,658.057692917,499
081004401,1721.52893891,447.78910664,622
081004500,1330.62295082,448.118107326,488
081004700,1076.60606061,323.617346634,693
081005000,4019.17431193,1302.96264551,109
081005100,1049.64053537,408.983240399,523
081005200,1640.29411765,457.451779009,595
081005300,999.995073892,359.449389736,812
081005400,1226.125,405.431690148,1080
081005500,1294.0,436.69196629,269
081005700,1163.00670241,383.72492091,746
081005800,1236.24579832,405.514972245,952
081005900,1003.63265306,376.318280248,637
081006100,1077.46370531,440.901209654,923
081006201,1292.05451128,273.267666791,1064
081006202,1464.61049724,439.982913179,1086
081006300,1040.49571603,345.055389099,817
081006501,1477.51971326,490.845003151,558
081006502,1080.76041667,405.077601469,672
081006900,1008.18814433,322.999303541,776
081007100,1158.36734694,384.74085885,686
081007300,1204.08603667,401.219409895,709
081007500,962.80793854,345.143768052,781
081007700,1377.66766467,474.548812119,334
081007900,1244.27046784,399.068051257,684
081008100,1433.86872587,477.06255366,259
081008300,1192.11235955,344.966515684,534
081008500,1486.21653543,632.101756555,254
081008600,1463.6622807,422.723014916,684
081008700,1212.26736111,363.741623989,864
081008800,1383.24373259,437.826224924,718
081009100,1248.39908953,429.348197164,659
081009400,1521.33382138,347.932602945,683
081009500,1463.94331066,560.954129027,441
081009600,1523.38450502,436.676604771,697
081009700,1245.86335404,424.858924554,644
081009800,1434.86175115,312.602378861,651
081009900,3045.67857143,1182.22755343,84
081010000,1642.43793584,383.345282567,717
081010100,1287.02321725,444.662375141,603
081010200,1530.85818713,424.26576153,684
081010300,1162.85034965,350.576210841,715
081010400,1227.36836735,337.073390516,980
081010500,978.438139535,309.323840747,1075
081010600,1227.20054945,272.414322585,728
081010701,3356.84375,1524.68185017,96
081010800,1458.92779292,337.651831512,734
081011000,1433.46500593,381.446865017,843
081011100,1615.27586207,511.974847075,493
081011200,1693.18871595,503.602612766,514
081011300,1289.17831669,435.580119109,701
081011400,2110.08280255,692.242645369,314
081011500,1351.02211302,397.210153626,407
081011600,1645.83391003,550.55973619,578
081011700,1036.76373626,335.643587229,728
081011800,1658.11003861,448.609468254,518
081011900,1704.12714777,595.732371106,291
081012000,1618.74200426,485.700836461,469
081012100,1379.12474012,414.915722288,481
081012200,1520.74689441,477.342256175,644
081012301,1209.53666147,340.852257644,641
081012400,1378.62553191,401.373998228,705
081012500,1239.8972973,403.44654381,370
081012601,1792.79384615,590.530490432,650
081012602,1494.47189097,460.403661909,587
081012800,1709.31648352,510.898119175,455
081013000,1546.17955112,539.262607483,401
081013200,1624.69631236,621.442991207,461
081013400,1050.46238532,415.41781387,1090
081013500,1396.62407862,517.352191368,407
081013600,1259.14747475,449.517522319,495
081013700,1928.67083333,689.314012936,240
081013800,1295.93953488,579.609049284,645
081014000,1331.45585875,477.9232392,623
081014100,1449.38690476,537.24324098,336
081014201,1169.47453704,312.37113579,864
081014202,1620.28571429,626.850901664,497
081014300,1176.83333333,429.945937291,732
081014400,1796.31034483,635.248832211,377
081014500,1287.75646552,591.2086816,464
081014700,1422.87549407,589.987762235,506
081014800,1566.29081633,446.240890848,588
081014900,1235.48648649,516.008313032,592
081015000,1577.53529412,478.962429749,510
081015100,1271.60617761,473.710848563,518
081015200,1465.80630631,559.442184886,666
081015300,1481.78630137,475.272812214,365
081015400,1602.71099291,461.374492307,564
081015500,1201.0021978,463.295774782,455
081015600,1475.13069544,424.278660851,834
081015700,1273.65635739,419.292187659,291
081015801,1237.7542707,386.143929652,761
081015802,1244.67446592,343.331537696,983
081015900,1067.90625,364.112551666,608
081016100,1419.80152672,506.386561919,393
081016300,1221.12114286,407.828917885,875
081016400,1455.74709677,460.853510937,775
081016600,1258.63329584,347.775018758,889
081016800,1548.09600998,479.581825435,802
081016900,1192.18308081,538.684909763,792
081017000,1642.47095761,554.943529808,637
081017100,2879.39240506,1280.28975035,79
081017200,1740.68113208,546.868438827,530
081017400,1759.60846561,531.582936971,567
081017600,1914.36091954,590.562114008,435
081017800,1770.95019157,479.533664807,522
081017900,1122.39672131,305.786796794,305
081018000,2315.65703971,616.731691646,277
081018101,1383.03839122,499.740801527,547
081018102,976.33041958,307.052722986,572
081018200,1794.63209393,450.035650147,511
081018300,1034.2890411,364.809661962,730
081018401,2028.26570048,565.837364115,414
081018402,1857.86436782,588.624874702,435
081018501,1134.95222405,407.360294136,607
081018502,1295.12135922,419.124662273,618
081018600,2372.38978495,736.921406497,372
