BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,BUFF_DIST
Brooklyn,015700,3015700,I,BK37,Park Slope-Gowanus,4005,0
Brooklyn,016500,3016500,I,BK37,Park Slope-Gowanus,4005,0
Brooklyn,017000,3017000,I,BK27,Bath Beach,4017,0
Brooklyn,017200,3017200,E,BK27,Bath Beach,4017,0
Brooklyn,017800,3017800,E,BK27,Bath Beach,4017,0
Brooklyn,018200,3018200,E,BK28,Bensonhurst West,4017,0
Brooklyn,018400,3018400,E,BK28,Bensonhurst West,4017,0
Brooklyn,018600,3018600,I,BK28,Bensonhurst West,4017,0
Brooklyn,018800,3018800,I,BK28,Bensonhurst West,4017,0
Brooklyn,019000,3019000,E,BK28,Bensonhurst West,4017,0
Brooklyn,019200,3019200,E,BK88,Borough Park,4014,0
Brooklyn,019400,3019400,E,BK30,Dyker Heights,4013,0
Brooklyn,019500,3019500,E,BK69,Clinton Hill,4004,0
Brooklyn,019600,3019600,E,BK30,Dyker Heights,4013,0
Brooklyn,019700,3019700,I,BK69,Clinton Hill,4004,0
Brooklyn,019800,3019800,E,BK30,Dyker Heights,4013,0
Brooklyn,020400,3020400,I,BK30,Dyker Heights,4013,0
Brooklyn,020800,3020800,I,BK30,Dyker Heights,4013,0
Brooklyn,021000,3021000,E,BK30,Dyker Heights,4013,0
Brooklyn,021200,3021200,E,BK30,Dyker Heights,4013,0
Brooklyn,021400,3021400,E,BK88,Borough Park,4014,0
Brooklyn,021900,3021900,E,BK61,Crown Heights North,4006,0
Brooklyn,022000,3022000,E,BK88,Borough Park,4014,0
Brooklyn,022100,3022100,E,BK61,Crown Heights North,4006,0
Brooklyn,022200,3022200,E,BK88,Borough Park,4014,0
Brooklyn,022700,3022700,E,BK69,Clinton Hill,4004,0
Brooklyn,022900,3022900,E,BK69,Clinton Hill,4004,0
Brooklyn,023100,3023100,I,BK69,Clinton Hill,4004,0
Brooklyn,023500,3023500,E,BK69,Clinton Hill,4004,0
Brooklyn,023600,3023600,E,BK88,Borough Park,4014,0
Brooklyn,023800,3023800,E,BK88,Borough Park,4014,0
Brooklyn,024000,3024000,E,BK88,Borough Park,4014,0
Brooklyn,024200,3024200,E,BK88,Borough Park,4014,0
Brooklyn,024500,3024500,E,BK75,Bedford,4003,0
Brooklyn,024600,3024600,E,BK88,Borough Park,4014,0
Brooklyn,024700,3024700,E,BK61,Crown Heights North,4006,0
Brooklyn,024800,3024800,E,BK28,Bensonhurst West,4017,0
Brooklyn,024900,3024900,E,BK75,Bedford,4003,0
Brooklyn,025000,3025000,E,BK28,Bensonhurst West,4017,0
Brooklyn,025200,3025200,E,BK28,Bensonhurst West,4017,0
Brooklyn,025400,3025400,E,BK28,Bensonhurst West,4017,0
Brooklyn,025600,3025600,E,BK28,Bensonhurst West,4017,0
Brooklyn,025800,3025800,E,BK28,Bensonhurst West,4017,0
Brooklyn,026000,3026000,E,BK28,Bensonhurst West,4017,0
Brooklyn,026200,3026200,I,BK28,Bensonhurst West,4017,0
Brooklyn,026300,3026300,E,BK75,Bedford,4003,0
Brooklyn,026400,3026400,E,BK28,Bensonhurst West,4017,0
Brooklyn,026600,3026600,I,BK28,Bensonhurst West,4017,0
Brooklyn,026700,3026700,I,BK75,Bedford,4003,0
Brooklyn,026800,3026800,E,BK28,Bensonhurst West,4017,0
Brooklyn,026900,3026900,E,BK75,Bedford,4003,0
Brooklyn,027000,3027000,E,BK28,Bensonhurst West,4017,0
Brooklyn,027100,3027100,E,BK61,Crown Heights North,4006,0
Brooklyn,027200,3027200,E,BK28,Bensonhurst West,4017,0
Brooklyn,027300,3027300,I,BK35,Stuyvesant Heights,4003,0
Brooklyn,027400,3027400,E,BK28,Bensonhurst West,4017,0
Brooklyn,027600,3027600,E,BK28,Bensonhurst West,4017,0
Brooklyn,027800,3027800,E,BK28,Bensonhurst West,4017,0
Brooklyn,027900,3027900,E,BK35,Stuyvesant Heights,4003,0
Brooklyn,028400,3028400,E,BK28,Bensonhurst West,4017,0
Brooklyn,028501,3028501,I,BK78,Bushwick South,4002,0
Brooklyn,028800,3028800,E,BK28,Bensonhurst West,4017,0
Brooklyn,029000,3029000,E,BK28,Bensonhurst West,4017,0
Brooklyn,029100,3029100,E,BK35,Stuyvesant Heights,4003,0
Brooklyn,029300,3029300,E,BK35,Stuyvesant Heights,4003,0
Brooklyn,029600,3029600,E,BK28,Bensonhurst West,4017,0
Brooklyn,029700,3029700,I,BK61,Crown Heights North,4006,0
Brooklyn,029800,3029800,E,BK29,Bensonhurst East,4017,0
Brooklyn,030000,3030000,E,BK29,Bensonhurst East,4017,0
Brooklyn,030200,3030200,E,BK29,Bensonhurst East,4017,0
Brooklyn,030500,3030500,E,BK61,Crown Heights North,4006,0
Brooklyn,030900,3030900,E,BK61,Crown Heights North,4006,0
Brooklyn,031701,3031701,E,BK61,Crown Heights North,4006,0
Brooklyn,032300,3032300,E,BK63,Crown Heights South,4011,0
Brooklyn,032600,3032600,E,BK21,Seagate-Coney Island,4018,0
Brooklyn,032900,3032900,E,BK60,Prospect Lefferts Gardens-Wingate,4011,0
Brooklyn,033100,3033100,E,BK63,Crown Heights South,4011,0
Brooklyn,033300,3033300,E,BK63,Crown Heights South,4011,0
Brooklyn,033500,3033500,E,BK63,Crown Heights South,4011,0
Brooklyn,033700,3033700,E,BK61,Crown Heights North,4006,0
Brooklyn,033900,3033900,E,BK61,Crown Heights North,4006,0
Brooklyn,034100,3034100,E,BK61,Crown Heights North,4006,0
Brooklyn,034200,3034200,E,BK21,Seagate-Coney Island,4018,0
Brooklyn,036300,3036300,E,BK79,Ocean Hill,4007,0
Brooklyn,036502,3036502,E,BK79,Ocean Hill,4007,0
Brooklyn,038800,3038800,E,BK25,Homecrest,4016,0
Brooklyn,039600,3039600,I,BK25,Homecrest,4016,0
Brooklyn,039700,3039700,E,BK78,Bushwick South,4002,0
Brooklyn,039900,3039900,E,BK78,Bushwick South,4002,0
Brooklyn,040100,3040100,E,BK78,Bushwick South,4002,0
Brooklyn,040400,3040400,I,BK29,Bensonhurst East,4017,0
Brooklyn,040600,3040600,E,BK29,Bensonhurst East,4017,0
Brooklyn,040800,3040800,E,BK29,Bensonhurst East,4017,0
Brooklyn,041300,3041300,E,BK78,Bushwick South,4002,0
Brooklyn,041401,3041401,E,BK25,Homecrest,4016,0
Brooklyn,041500,3041500,E,BK78,Bushwick South,4002,0
Brooklyn,041700,3041700,E,BK78,Bushwick South,4002,0
Brooklyn,041800,3041800,E,BK25,Homecrest,4016,0
Brooklyn,041900,3041900,E,BK78,Bushwick South,4002,0
Brooklyn,042000,3042000,E,BK25,Homecrest,4016,0
Brooklyn,042100,3042100,E,BK78,Bushwick South,4002,0
Brooklyn,042600,3042600,E,BK29,Bensonhurst East,4017,0
Brooklyn,042700,3042700,E,BK77,Bushwick North,4002,0
Brooklyn,042800,3042800,E,BK29,Bensonhurst East,4017,0
Brooklyn,042900,3042900,E,BK77,Bushwick North,4002,0
Brooklyn,043000,3043000,E,BK29,Bensonhurst East,4017,0
Brooklyn,043100,3043100,E,BK77,Bushwick North,4002,0
Brooklyn,043200,3043200,E,BK29,Bensonhurst East,4017,0
Brooklyn,043300,3043300,E,BK77,Bushwick North,4002,0
Brooklyn,043400,3043400,E,BK29,Bensonhurst East,4017,0
Brooklyn,043500,3043500,E,BK77,Bushwick North,4002,0
Brooklyn,043600,3043600,E,BK29,Bensonhurst East,4017,0
Brooklyn,043700,3043700,E,BK77,Bushwick North,4002,0
Brooklyn,043900,3043900,E,BK77,Bushwick North,4002,0
Brooklyn,044000,3044000,I,BK46,Ocean Parkway South,4014,0
Brooklyn,044100,3044100,E,BK77,Bushwick North,4002,0
Brooklyn,044200,3044200,E,BK46,Ocean Parkway South,4014,0
Brooklyn,044300,3044300,E,BK77,Bushwick North,4002,0
Brooklyn,044400,3044400,E,BK46,Ocean Parkway South,4014,0
Brooklyn,044600,3044600,E,BK88,Borough Park,4014,0
Brooklyn,045200,3045200,I,BK46,Ocean Parkway South,4014,0
Brooklyn,045400,3045400,I,BK46,Ocean Parkway South,4014,0
Brooklyn,045600,3045600,E,BK43,Midwood,4015,0
Brooklyn,045800,3045800,I,BK43,Midwood,4015,0
Brooklyn,046000,3046000,I,BK42,Flatbush,4015,0
Brooklyn,046400,3046400,E,BK88,Borough Park,4014,0
Brooklyn,047000,3047000,E,BK88,Borough Park,4014,0
Brooklyn,047200,3047200,E,BK88,Borough Park,4014,0
Brooklyn,047400,3047400,E,BK88,Borough Park,4014,0
Brooklyn,047600,3047600,E,BK88,Borough Park,4014,0
Brooklyn,048100,3048100,I,BK90,East Williamsburg,4001,0
Brooklyn,049500,3049500,I,BK90,East Williamsburg,4001,0
Brooklyn,049900,3049900,E,BK76,Greenpoint,4001,0
Brooklyn,050300,3050300,E,BK90,East Williamsburg,4001,0
Brooklyn,050500,3050500,E,BK90,East Williamsburg,4001,0
Brooklyn,050700,3050700,E,BK75,Bedford,4003,0
Brooklyn,050801,3050801,E,BK42,Flatbush,4015,0
Brooklyn,051001,3051001,E,BK42,Flatbush,4015,0
Brooklyn,051400,3051400,E,BK42,Flatbush,4015,0
Brooklyn,051601,3051601,E,BK42,Flatbush,4015,0
Brooklyn,051602,3051602,E,BK42,Flatbush,4015,0
Brooklyn,051700,3051700,I,BK73,North Side-South Side,4001,0
Brooklyn,051800,3051800,I,BK42,Flatbush,4015,0
Brooklyn,052000,3052000,E,BK42,Flatbush,4015,0
Brooklyn,052600,3052600,I,BK42,Flatbush,4015,0
Brooklyn,052800,3052800,I,BK42,Flatbush,4015,0
Brooklyn,053000,3053000,E,BK43,Midwood,4015,0
Brooklyn,053100,3053100,E,BK75,Bedford,4003,0
Brooklyn,053200,3053200,I,BK43,Midwood,4015,0
Brooklyn,053300,3053300,E,BK72,Williamsburg,4001,0
Brooklyn,053400,3053400,E,BK43,Midwood,4015,0
Brooklyn,053800,3053800,E,BK43,Midwood,4015,0
Brooklyn,054200,3054200,E,BK43,Midwood,4015,0
Brooklyn,054400,3054400,E,BK43,Midwood,4015,0
Brooklyn,055000,3055000,E,BK44,Madison,4016,0
Brooklyn,055200,3055200,E,BK44,Madison,4016,0
Brooklyn,055300,3055300,E,BK73,North Side-South Side,4001,0
Brooklyn,055800,3055800,E,BK44,Madison,4016,0
Brooklyn,056000,3056000,E,BK44,Madison,4016,0
Brooklyn,056200,3056200,I,BK44,Madison,4016,0
Brooklyn,056400,3056400,I,BK44,Madison,4016,0
Brooklyn,056500,3056500,I,BK76,Greenpoint,4001,0
Brooklyn,056600,3056600,I,BK44,Madison,4016,0
Brooklyn,056800,3056800,I,BK44,Madison,4016,0
Brooklyn,056900,3056900,I,BK76,Greenpoint,4001,0
Brooklyn,057000,3057000,I,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016,0
Brooklyn,057100,3057100,E,BK76,Greenpoint,4001,0
Brooklyn,057200,3057200,E,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016,0
Brooklyn,057300,3057300,I,BK76,Greenpoint,4001,0
Brooklyn,057400,3057400,I,BK44,Madison,4016,0
Brooklyn,057600,3057600,I,BK44,Madison,4016,0
Brooklyn,057800,3057800,I,BK44,Madison,4016,0
Brooklyn,058000,3058000,E,BK44,Madison,4016,0
Brooklyn,058600,3058600,E,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016,0
Brooklyn,059100,3059100,E,BK76,Greenpoint,4001,0
Brooklyn,059200,3059200,I,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016,0
Brooklyn,059300,3059300,E,BK76,Greenpoint,4001,0
Brooklyn,059401,3059401,I,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016,0
Brooklyn,059402,3059402,I,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016,0
Brooklyn,059600,3059600,E,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016,0
Brooklyn,060000,3060000,I,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016,0
Brooklyn,061200,3061200,I,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016,0
Brooklyn,063200,3063200,I,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4016,0
Brooklyn,063600,3063600,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,0
Brooklyn,063800,3063800,I,BK44,Madison,4016,0
Brooklyn,064000,3064000,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,0
Brooklyn,064600,3064600,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,0
Brooklyn,064800,3064800,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,0
Brooklyn,065000,3065000,I,BK58,Flatlands,4009,0
Brooklyn,065400,3065400,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,0
Brooklyn,065600,3065600,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,0
Brooklyn,065800,3065800,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,0
Brooklyn,067200,3067200,I,BK58,Flatlands,4009,0
Brooklyn,067400,3067400,I,BK58,Flatlands,4009,0
Brooklyn,067600,3067600,I,BK58,Flatlands,4009,0
Brooklyn,067800,3067800,I,BK58,Flatlands,4009,0
Brooklyn,068000,3068000,I,BK58,Flatlands,4009,0
Brooklyn,068600,3068600,I,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4009,0
Brooklyn,068800,3068800,I,BK58,Flatlands,4009,0
Brooklyn,069000,3069000,I,BK58,Flatlands,4009,0
Brooklyn,069200,3069200,I,BK58,Flatlands,4009,0
Brooklyn,072800,3072800,I,BK58,Flatlands,4009,0
Brooklyn,073400,3073400,I,BK58,Flatlands,4009,0
Brooklyn,073600,3073600,E,BK58,Flatlands,4009,0
Brooklyn,073800,3073800,I,BK58,Flatlands,4009,0
Brooklyn,074000,3074000,I,BK58,Flatlands,4009,0
Brooklyn,074200,3074200,I,BK58,Flatlands,4009,0
Brooklyn,074400,3074400,I,BK58,Flatlands,4009,0
Brooklyn,074600,3074600,I,BK58,Flatlands,4009,0
Brooklyn,074800,3074800,I,BK43,Midwood,4015,0
Brooklyn,075000,3075000,E,BK43,Midwood,4015,0
Brooklyn,075200,3075200,I,BK43,Midwood,4015,0
Brooklyn,075400,3075400,I,BK43,Midwood,4015,0
Brooklyn,075600,3075600,I,BK43,Midwood,4015,0
Brooklyn,076000,3076000,I,BK43,Midwood,4015,0
Brooklyn,076200,3076200,E,BK43,Midwood,4015,0
Brooklyn,076400,3076400,I,BK42,Flatbush,4015,0
Brooklyn,076800,3076800,E,BK43,Midwood,4015,0
Brooklyn,077400,3077400,I,BK42,Flatbush,4015,0
Brooklyn,078400,3078400,I,BK91,East Flatbush-Farragut,4010,0
Brooklyn,079000,3079000,E,BK95,Erasmus,4010,0
Brooklyn,079200,3079200,E,BK95,Erasmus,4010,0
Brooklyn,079601,3079601,E,BK60,Prospect Lefferts Gardens-Wingate,4011,0
Brooklyn,080000,3080000,I,BK60,Prospect Lefferts Gardens-Wingate,4011,0
Brooklyn,080400,3080400,E,BK60,Prospect Lefferts Gardens-Wingate,4011,0
Brooklyn,080600,3080600,E,BK60,Prospect Lefferts Gardens-Wingate,4011,0
Brooklyn,081000,3081000,E,BK60,Prospect Lefferts Gardens-Wingate,4011,0
Brooklyn,081400,3081400,I,BK91,East Flatbush-Farragut,4010,0
Brooklyn,081800,3081800,E,BK95,Erasmus,4010,0
Brooklyn,082400,3082400,E,BK95,Erasmus,4010,0
Brooklyn,083200,3083200,I,BK91,East Flatbush-Farragut,4010,0
Brooklyn,083600,3083600,I,BK91,East Flatbush-Farragut,4010,0
Brooklyn,083800,3083800,I,BK91,East Flatbush-Farragut,4010,0
Brooklyn,084000,3084000,I,BK91,East Flatbush-Farragut,4010,0
Brooklyn,084600,3084600,I,BK96,Rugby-Remsen Village,4010,0
Brooklyn,084800,3084800,I,BK96,Rugby-Remsen Village,4010,0
Brooklyn,085000,3085000,I,BK91,East Flatbush-Farragut,4010,0
Brooklyn,085600,3085600,E,BK91,East Flatbush-Farragut,4010,0
Brooklyn,086000,3086000,E,BK91,East Flatbush-Farragut,4010,0
Brooklyn,086200,3086200,E,BK96,Rugby-Remsen Village,4010,0
Brooklyn,086400,3086400,I,BK96,Rugby-Remsen Village,4010,0
Brooklyn,086600,3086600,E,BK96,Rugby-Remsen Village,4010,0
Brooklyn,086800,3086800,E,BK96,Rugby-Remsen Village,4010,0
Brooklyn,087000,3087000,E,BK91,East Flatbush-Farragut,4010,0
Brooklyn,087200,3087200,I,BK91,East Flatbush-Farragut,4010,0
Brooklyn,087401,3087401,E,BK60,Prospect Lefferts Gardens-Wingate,4011,0
Brooklyn,087800,3087800,E,BK60,Prospect Lefferts Gardens-Wingate,4011,0
Brooklyn,088200,3088200,E,BK96,Rugby-Remsen Village,4010,0
Brooklyn,088400,3088400,E,BK96,Rugby-Remsen Village,4010,0
Brooklyn,088600,3088600,E,BK96,Rugby-Remsen Village,4010,0
Brooklyn,088800,3088800,E,BK96,Rugby-Remsen Village,4010,0
Brooklyn,089000,3089000,E,BK96,Rugby-Remsen Village,4010,0
Brooklyn,089400,3089400,E,BK81,Brownsville,4007,0
Brooklyn,089600,3089600,E,BK81,Brownsville,4007,0
Brooklyn,089800,3089800,E,BK81,Brownsville,4007,0
Brooklyn,090200,3090200,E,BK81,Brownsville,4007,0
Brooklyn,090600,3090600,E,BK81,Brownsville,4007,0
Brooklyn,091600,3091600,E,BK81,Brownsville,4007,0
Brooklyn,091800,3091800,E,BK81,Brownsville,4007,0
Brooklyn,092000,3092000,E,BK81,Brownsville,4007,0
Brooklyn,092200,3092200,E,BK81,Brownsville,4007,0
Brooklyn,092400,3092400,E,BK81,Brownsville,4007,0
Brooklyn,092800,3092800,I,BK96,Rugby-Remsen Village,4010,0
Brooklyn,093000,3093000,I,BK96,Rugby-Remsen Village,4010,0
Brooklyn,093800,3093800,E,BK96,Rugby-Remsen Village,4010,0
Brooklyn,095400,3095400,I,BK50,Canarsie,4009,0
Brooklyn,095600,3095600,I,BK50,Canarsie,4009,0
Brooklyn,095800,3095800,I,BK50,Canarsie,4009,0
Brooklyn,096400,3096400,E,BK50,Canarsie,4009,0
Brooklyn,096600,3096600,I,BK50,Canarsie,4009,0
Brooklyn,096800,3096800,I,BK50,Canarsie,4009,0
Brooklyn,097000,3097000,I,BK50,Canarsie,4009,0
Brooklyn,098400,3098400,I,BK50,Canarsie,4009,0
Brooklyn,098600,3098600,I,BK50,Canarsie,4009,0
Brooklyn,098800,3098800,I,BK50,Canarsie,4009,0
Brooklyn,099000,3099000,I,BK50,Canarsie,4009,0
Brooklyn,099200,3099200,I,BK50,Canarsie,4009,0
Brooklyn,099400,3099400,I,BK50,Canarsie,4009,0
Brooklyn,099600,3099600,I,BK50,Canarsie,4009,0
Brooklyn,100400,3100400,I,BK50,Canarsie,4009,0
Brooklyn,100600,3100600,I,BK50,Canarsie,4009,0
Brooklyn,100800,3100800,E,BK50,Canarsie,4009,0
Brooklyn,101000,3101000,I,BK50,Canarsie,4009,0
Brooklyn,101200,3101200,E,BK50,Canarsie,4009,0
Brooklyn,101400,3101400,I,BK50,Canarsie,4009,0
Brooklyn,101600,3101600,I,BK50,Canarsie,4009,0
Brooklyn,101800,3101800,I,BK50,Canarsie,4009,0
Brooklyn,102000,3102000,I,BK50,Canarsie,4009,0
Brooklyn,102400,3102400,I,BK50,Canarsie,4009,0
Brooklyn,102600,3102600,I,BK50,Canarsie,4009,0
Brooklyn,111000,3111000,E,BK82,East New York,4008,0
Brooklyn,112000,3112000,E,BK82,East New York,4008,0
Brooklyn,112200,3112200,E,BK85,East New York (Pennsylvania Ave),4007,0
Brooklyn,112400,3112400,E,BK82,East New York,4008,0
Brooklyn,112600,3112600,E,BK85,East New York (Pennsylvania Ave),4007,0
Brooklyn,112800,3112800,E,BK85,East New York (Pennsylvania Ave),4007,0
Brooklyn,113000,3113000,E,BK85,East New York (Pennsylvania Ave),4007,0
Brooklyn,113400,3113400,E,BK85,East New York (Pennsylvania Ave),4007,0
Brooklyn,114600,3114600,E,BK83,Cypress Hills-City Line,4008,0
Brooklyn,115000,3115000,E,BK82,East New York,4008,0
Brooklyn,115200,3115200,E,BK82,East New York,4008,0
Brooklyn,115600,3115600,E,BK85,East New York (Pennsylvania Ave),4007,0
Brooklyn,115800,3115800,E,BK85,East New York (Pennsylvania Ave),4007,0
Brooklyn,116000,3116000,E,BK82,East New York,4008,0
Brooklyn,116200,3116200,E,BK82,East New York,4008,0
Brooklyn,116400,3116400,E,BK82,East New York,4008,0
Brooklyn,116600,3116600,E,BK82,East New York,4008,0
Brooklyn,116800,3116800,E,BK82,East New York,4008,0
Brooklyn,117000,3117000,E,BK82,East New York,4008,0
Brooklyn,117201,3117201,E,BK83,Cypress Hills-City Line,4008,0
Brooklyn,117202,3117202,E,BK83,Cypress Hills-City Line,4008,0
Brooklyn,119200,3119200,E,BK82,East New York,4008,0
Brooklyn,119400,3119400,E,BK82,East New York,4008,0
Bronx,001600,2001600,E,BX09,Soundview-Castle Hill-Clason Point-Harding Park,3709,0
Bronx,002701,2002701,E,BX39,Mott Haven-Port Morris,3710,0
Bronx,003300,2003300,E,BX39,Mott Haven-Port Morris,3710,0
Bronx,003500,2003500,E,BX39,Mott Haven-Port Morris,3710,0
Bronx,003700,2003700,E,BX39,Mott Haven-Port Morris,3710,0
Bronx,003800,2003800,E,BX09,Soundview-Castle Hill-Clason Point-Harding Park,3709,0
Bronx,004001,2004001,E,BX55,Soundview-Bruckner,3709,0
Bronx,004400,2004400,E,BX55,Soundview-Bruckner,3709,0
Bronx,004800,2004800,E,BX55,Soundview-Bruckner,3709,0
Bronx,005002,2005002,E,BX55,Soundview-Bruckner,3709,0
Bronx,006800,2006800,E,BX55,Soundview-Bruckner,3709,0
Bronx,007000,2007000,E,BX55,Soundview-Bruckner,3709,0
Bronx,008900,2008900,E,BX27,Hunts Point,3710,0
Bronx,012101,2012101,E,BX35,Morrisania-Melrose,3705,0
