BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,BUFF_DIST
Staten Island,000900,5000900,I,SI22,West New Brighton-New Brighton-St. George,3903,0
Staten Island,012500,5012500,I,SI22,West New Brighton-New Brighton-St. George,3903,0
Staten Island,013301,5013301,E,SI22,West New Brighton-New Brighton-St. George,3903,0
Staten Island,019700,5019700,I,SI07,Westerleigh,3903,0
Staten Island,006400,5006400,I,SI14,Grasmere-Arrochar-Ft. Wadsworth,3902,0
Staten Island,007400,5007400,I,SI14,Grasmere-Arrochar-Ft. Wadsworth,3902,0
Manhattan,002202,1002202,I,MN28,Lower East Side,3809,0
Manhattan,003200,1003200,I,MN22,East Village,3809,0
Manhattan,006800,1006800,I,MN21,Gramercy,3808,0
Manhattan,008900,1008900,I,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3807,0
Manhattan,009600,1009600,E,MN17,Midtown-Midtown South,3807,0
Manhattan,009800,1009800,I,MN19,Turtle Bay-East Midtown,3808,0
Manhattan,010000,1010000,I,MN19,Turtle Bay-East Midtown,3808,0
Manhattan,010200,1010200,I,MN17,Midtown-Midtown South,3807,0
Manhattan,010400,1010400,I,MN17,Midtown-Midtown South,3807,0
Manhattan,011201,1011201,I,MN17,Midtown-Midtown South,3807,0
Manhattan,011202,1011202,I,MN17,Midtown-Midtown South,3807,0
Manhattan,011203,1011203,I,MN19,Turtle Bay-East Midtown,3808,0
Manhattan,011300,1011300,I,MN17,Midtown-Midtown South,3807,0
Manhattan,011402,1011402,I,MN40,Upper East Side-Carnegie Hill,3805,0
Manhattan,013000,1013000,I,MN40,Upper East Side-Carnegie Hill,3805,0
Manhattan,014000,1014000,I,MN40,Upper East Side-Carnegie Hill,3805,0
Manhattan,014601,1014601,I,MN32,Yorkville,3805,0
Manhattan,014602,1014602,I,MN32,Yorkville,3805,0
Manhattan,014801,1014801,I,MN40,Upper East Side-Carnegie Hill,3805,0
Manhattan,014802,1014802,I,MN40,Upper East Side-Carnegie Hill,3805,0
Manhattan,015300,1015300,I,MN14,Lincoln Square,3806,0
Manhattan,015400,1015400,I,MN32,Yorkville,3805,0
Manhattan,015601,1015601,I,MN32,Yorkville,3805,0
Manhattan,015602,1015602,E,MN33,East Harlem South,3804,0
Manhattan,016001,1016001,I,MN40,Upper East Side-Carnegie Hill,3805,0
Manhattan,018400,1018400,E,MN34,East Harlem North,3804,0
Manhattan,019000,1019000,I,MN11,Central Harlem South,3803,0
Manhattan,020101,1020101,I,MN09,Morningside Heights,3802,0
Manhattan,020102,1020102,E,MN11,Central Harlem South,3803,0
Manhattan,020600,1020600,E,MN03,Central Harlem North-Polo Grounds,3803,0
Manhattan,021800,1021800,E,MN11,Central Harlem South,3803,0
Manhattan,022000,1022000,E,MN11,Central Harlem South,3803,0
Manhattan,022900,1022900,E,MN04,Hamilton Heights,3802,0
Manhattan,023400,1023400,E,MN03,Central Harlem North-Polo Grounds,3803,0
Manhattan,023900,1023900,E,MN36,Washington Heights South,3801,0
Manhattan,024900,1024900,E,MN36,Washington Heights South,3801,0
Manhattan,025300,1025300,E,MN36,Washington Heights South,3801,0
Manhattan,025700,1025700,E,MN11,Central Harlem South,3803,0
Manhattan,026100,1026100,E,MN36,Washington Heights South,3801,0
Manhattan,026300,1026300,E,MN36,Washington Heights South,3801,0
Manhattan,026700,1026700,E,MN35,Washington Heights North,3801,0
Manhattan,026900,1026900,E,MN35,Washington Heights North,3801,0
Manhattan,027700,1027700,E,MN35,Washington Heights North,3801,0
Brooklyn,000501,3000501,I,BK09,Brooklyn Heights-Cobble Hill,4004,0
Brooklyn,002000,3002000,E,BK32,Sunset Park West,4012,0
Brooklyn,005201,3005201,E,BK31,Bay Ridge,4013,0
Brooklyn,005202,3005202,I,BK31,Bay Ridge,4013,0
Brooklyn,005800,3005800,E,BK31,Bay Ridge,4013,0
Brooklyn,006000,3006000,I,BK31,Bay Ridge,4013,0
Brooklyn,006500,3006500,I,BK33,Carroll Gardens-Columbia Street-Red Hook,4005,0
Brooklyn,006700,3006700,I,BK33,Carroll Gardens-Columbia Street-Red Hook,4005,0
Brooklyn,006900,3006900,I,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,4004,0
Brooklyn,007400,3007400,E,BK32,Sunset Park West,4012,0
Brooklyn,007600,3007600,E,BK32,Sunset Park West,4012,0
Brooklyn,007800,3007800,E,BK32,Sunset Park West,4012,0
Brooklyn,008000,3008000,E,BK32,Sunset Park West,4012,0
Brooklyn,009800,3009800,E,BK34,Sunset Park East,4012,0
Brooklyn,010100,3010100,E,BK32,Sunset Park West,4012,0
Brooklyn,010800,3010800,E,BK34,Sunset Park East,4012,0
Brooklyn,011000,3011000,E,BK34,Sunset Park East,4012,0
Brooklyn,011400,3011400,E,BK88,Borough Park,4014,0
Brooklyn,012100,3012100,I,BK37,Park Slope-Gowanus,4005,0
Brooklyn,013000,3013000,E,BK31,Bay Ridge,4013,0
Brooklyn,013200,3013200,E,BK30,Dyker Heights,4013,0
Brooklyn,013300,3013300,I,BK37,Park Slope-Gowanus,4005,0
Brooklyn,013600,3013600,I,BK31,Bay Ridge,4013,0
Brooklyn,013700,3013700,I,BK37,Park Slope-Gowanus,4005,0
Brooklyn,013900,3013900,E,BK37,Park Slope-Gowanus,4005,0
Brooklyn,015100,3015100,I,BK37,Park Slope-Gowanus,4005,0
Brooklyn,015300,3015300,I,BK37,Park Slope-Gowanus,4005,0
Brooklyn,015500,3015500,I,BK37,Park Slope-Gowanus,4005,0
