BoroName,CT2010,BoroCT2010,NTACode,NTAName,PUMA,Shape_Leng,Shape_Area,BUFF_DIST
Brooklyn,013900,3013900,BK37,Park Slope-Gowanus,4005,5219.680479,1631336.533,0
Brooklyn,015100,3015100,BK37,Park Slope-Gowanus,4005,5175.221646,1607114.126,0
Brooklyn,015300,3015300,BK37,Park Slope-Gowanus,4005,5188.381441,1619490.318,0
Brooklyn,015500,3015500,BK37,Park Slope-Gowanus,4005,5181.351516,1610814.53,0
Brooklyn,015700,3015700,BK37,Park Slope-Gowanus,4005,5427.704575,1802056.047,0
Brooklyn,016500,3016500,BK37,Park Slope-Gowanus,4005,6727.004994,2006987.782,0
Brooklyn,017000,3017000,BK27,Bath Beach,4017,7327.426867,2249706.401,0
Brooklyn,017200,3017200,BK27,Bath Beach,4017,7259.321387,2220321.635,0
Brooklyn,017800,3017800,BK27,Bath Beach,4017,6092.042689,1765217.211,0
Brooklyn,018200,3018200,BK28,Bensonhurst West,4017,5730.247189,1781130.547,0
Brooklyn,018400,3018400,BK28,Bensonhurst West,4017,5157.913005,1605281.577,0
Brooklyn,018600,3018600,BK28,Bensonhurst West,4017,4679.729979,1216850.532,0
Brooklyn,018800,3018800,BK28,Bensonhurst West,4017,5864.289707,1885932.632,0
Brooklyn,019000,3019000,BK28,Bensonhurst West,4017,6614.318963,2291793.605,0
Brooklyn,019200,3019200,BK88,Borough Park,4014,5880.317176,2042946.474,0
Brooklyn,019400,3019400,BK30,Dyker Heights,4013,6220.292663,1920211.755,0
Brooklyn,019500,3019500,BK69,Clinton Hill,4004,4887.717107,1475082.708,0
Brooklyn,019600,3019600,BK30,Dyker Heights,4013,5718.167634,2027285.922,0
Brooklyn,019700,3019700,BK69,Clinton Hill,4004,6148.341529,1828072.206,0
Brooklyn,019800,3019800,BK30,Dyker Heights,4013,5279.397046,1450201.497,0
Brooklyn,020400,3020400,BK30,Dyker Heights,4013,5280.338322,1450945.784,0
Brooklyn,020800,3020800,BK30,Dyker Heights,4013,5945.305485,1542688.997,0
Brooklyn,021000,3021000,BK30,Dyker Heights,4013,5710.82802,1614539.932,0
Brooklyn,021200,3021200,BK30,Dyker Heights,4013,5986.105228,2054324.467,0
Brooklyn,021900,3021900,BK61,Crown Heights North,4006,5031.288126,1582742.164,0
Brooklyn,022000,3022000,BK88,Borough Park,4014,6117.0823,2091173.161,0
Brooklyn,022100,3022100,BK61,Crown Heights North,4006,5511.964693,1617936.881,0
Brooklyn,022200,3022200,BK88,Borough Park,4014,5742.179476,1896474.051,0
Brooklyn,022700,3022700,BK69,Clinton Hill,4004,6861.719709,2588318.216,0
Brooklyn,022900,3022900,BK69,Clinton Hill,4004,5440.76449,1849568.404,0
Brooklyn,023100,3023100,BK69,Clinton Hill,4004,5908.873251,1716029.907,0
Brooklyn,023500,3023500,BK69,Clinton Hill,4004,4958.034954,1523725.767,0
Brooklyn,023600,3023600,BK88,Borough Park,4014,6242.981077,1828207.777,0
Brooklyn,023800,3023800,BK88,Borough Park,4014,6244.556731,1828765.822,0
Brooklyn,024000,3024000,BK88,Borough Park,4014,6240.45935,1827206.393,0
Brooklyn,024200,3024200,BK88,Borough Park,4014,6964.549393,2061125.047,0
Brooklyn,024500,3024500,BK75,Bedford,4003,5582.222563,1795931.618,0
Brooklyn,024600,3024600,BK88,Borough Park,4014,6796.313336,1845582.935,0
Brooklyn,024700,3024700,BK61,Crown Heights North,4006,7488.70173,2028330.425,0
Brooklyn,024800,3024800,BK28,Bensonhurst West,4017,6417.483306,1895137.519,0
Brooklyn,024900,3024900,BK75,Bedford,4003,5777.655193,1813352.673,0
Brooklyn,025000,3025000,BK28,Bensonhurst West,4017,5938.202539,1867289.953,0
Brooklyn,025200,3025200,BK28,Bensonhurst West,4017,6686.606727,1950979.095,0
Brooklyn,025400,3025400,BK28,Bensonhurst West,4017,6302.394681,1888611.582,0
Brooklyn,025600,3025600,BK28,Bensonhurst West,4017,6298.065461,1869263.07,0
Brooklyn,025800,3025800,BK28,Bensonhurst West,4017,6257.55432,1832115.625,0
Brooklyn,026000,3026000,BK28,Bensonhurst West,4017,5699.189185,1753286.172,0
Brooklyn,026200,3026200,BK28,Bensonhurst West,4017,5384.768035,1699503.058,0
Brooklyn,026300,3026300,BK75,Bedford,4003,4799.556849,1287405.971,0
Brooklyn,026400,3026400,BK28,Bensonhurst West,4017,7095.086067,2038976.304,0
Brooklyn,026600,3026600,BK28,Bensonhurst West,4017,7706.999647,1785503.086,0
Brooklyn,026700,3026700,BK75,Bedford,4003,5340.244066,1717367.877,0
Brooklyn,026800,3026800,BK28,Bensonhurst West,4017,6339.144273,1926489.204,0
Brooklyn,026900,3026900,BK75,Bedford,4003,5051.018932,1441848.772,0
Brooklyn,027000,3027000,BK28,Bensonhurst West,4017,5255.801029,1444005.643,0
Brooklyn,027100,3027100,BK61,Crown Heights North,4006,9484.867868,2767038.927,0
Brooklyn,027200,3027200,BK28,Bensonhurst West,4017,7299.797656,1422363.429,0
Brooklyn,027300,3027300,BK35,Stuyvesant Heights,4003,5273.313701,1611451.005,0
Brooklyn,027400,3027400,BK28,Bensonhurst West,4017,6175.275942,1758627.07,0
Brooklyn,027600,3027600,BK28,Bensonhurst West,4017,6258.678985,1607862.58,0
Brooklyn,027800,3027800,BK28,Bensonhurst West,4017,6104.407843,1727742.077,0
Brooklyn,027900,3027900,BK35,Stuyvesant Heights,4003,5389.745821,1743087.978,0
Brooklyn,028400,3028400,BK28,Bensonhurst West,4017,6096.044707,1768012.327,0
Brooklyn,028501,3028501,BK78,Bushwick South,4002,4167.689616,895739.7492,0
Brooklyn,028800,3028800,BK28,Bensonhurst West,4017,5777.687908,1644934.101,0
Brooklyn,029000,3029000,BK28,Bensonhurst West,4017,5799.041489,1665073.432,0
Brooklyn,029100,3029100,BK35,Stuyvesant Heights,4003,5439.939153,1772059.652,0
Brooklyn,029300,3029300,BK35,Stuyvesant Heights,4003,5437.785217,1770060.576,0
Brooklyn,029600,3029600,BK28,Bensonhurst West,4017,7396.971342,2300496.656,0
Brooklyn,029700,3029700,BK61,Crown Heights North,4006,5858.602491,2212767.942,0
Brooklyn,029800,3029800,BK29,Bensonhurst East,4017,7431.077921,2379873.998,0
Brooklyn,030000,3030000,BK29,Bensonhurst East,4017,7243.131793,2099451.008,0
Brooklyn,030200,3030200,BK29,Bensonhurst East,4017,6921.914365,2273119.703,0
Brooklyn,030500,3030500,BK61,Crown Heights North,4006,7369.206067,3474329.276,0
Brooklyn,030900,3030900,BK61,Crown Heights North,4006,5470.581443,1587377.38,0
Brooklyn,031701,3031701,BK61,Crown Heights North,4006,5033.486008,1504293.97,0
Brooklyn,032300,3032300,BK63,Crown Heights South,4011,6269.420677,1862860.631,0
Brooklyn,032600,3032600,BK21,Seagate-Coney Island,4018,7873.196646,3542642.382,0
Brooklyn,032900,3032900,BK60,Prospect Lefferts Gardens-Wingate,4011,7138.852587,1683542.518,0
Brooklyn,033100,3033100,BK63,Crown Heights South,4011,7551.857278,1533546.737,0
Brooklyn,033300,3033300,BK63,Crown Heights South,4011,7463.479724,2005662.99,0
Brooklyn,033500,3033500,BK63,Crown Heights South,4011,7422.437709,1944377.33,0
Brooklyn,033700,3033700,BK61,Crown Heights North,4006,7545.478656,2126882.313,0
Brooklyn,033900,3033900,BK61,Crown Heights North,4006,7419.803724,1945657.745,0
Brooklyn,034100,3034100,BK61,Crown Heights North,4006,5030.776599,1504308.071,0
Brooklyn,034200,3034200,BK21,Seagate-Coney Island,4018,7381.417191,2475181.542,0
Brooklyn,036300,3036300,BK79,Ocean Hill,4007,8445.466805,2785736.307,0
