FID,FID_1,CTLabel,BoroCode,BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Area,Count_,Sum_Id,IsDestination?,FlatbushDest,ChinaDest,JamicaDest,OriginChina,DONOTUSE,OriginFlat,DoNotUse,OriginJamica
17,17,112.03,1,Manhattan,011203,1011203,I,MN19,Turtle Bay-East Midtown,3808,3701.173031,854082.5154,0,0,0,0,0,0,0,0,0,0,0
18,18,113,1,Manhattan,011300,1011300,I,MN17,Midtown-Midtown South,3807,5699.860641,1890907.331,0,0,0,0,0,0,0,0,0,0,0
19,19,114.02,1,Manhattan,011402,1011402,I,MN40,Upper East Side-Carnegie Hill,3805,4125.2561,1063547.405,0,0,0,0,0,0,0,0,0,0,0
20,20,130,1,Manhattan,013000,1013000,I,MN40,Upper East Side-Carnegie Hill,3805,5807.972956,1918144.54,0,0,0,0,0,0,0,0,0,0,0
21,21,140,1,Manhattan,014000,1014000,I,MN40,Upper East Side-Carnegie Hill,3805,5820.81564,1925984.223,0,0,0,0,0,0,0,0,0,0,0
22,22,146.01,1,Manhattan,014601,1014601,I,MN32,Yorkville,3805,4016.133393,799879.9085,0,0,0,0,0,0,0,0,0,0,0
23,23,146.02,1,Manhattan,014602,1014602,I,MN32,Yorkville,3805,4528.695483,1175338.612,0,0,0,0,0,0,0,0,0,0,0
24,24,148.01,1,Manhattan,014801,1014801,I,MN40,Upper East Side-Carnegie Hill,3805,3135.951423,559216.1578,0,0,0,0,0,0,0,0,0,0,0
25,25,148.02,1,Manhattan,014802,1014802,I,MN40,Upper East Side-Carnegie Hill,3805,4691.029341,1351364.99,0,0,0,0,0,0,0,0,0,0,0
26,26,153,1,Manhattan,015300,1015300,I,MN14,Lincoln Square,3806,5674.292342,1872392.705,0,0,0,0,0,0,0,0,0,0,0
27,27,154,1,Manhattan,015400,1015400,I,MN32,Yorkville,3805,5536.958004,1909222.234,0,0,0,0,0,0,0,0,0,0,0
28,28,156.01,1,Manhattan,015601,1015601,I,MN32,Yorkville,3805,4004.82447,791912.5084,0,0,0,0,0,0,0,0,0,0,0
29,29,156.02,1,Manhattan,015602,1015602,E,MN33,East Harlem South,3804,4524.706934,1169934.511,0,0,0,0,0,0,0,0,0,0,0
30,30,160.01,1,Manhattan,016001,1016001,I,MN40,Upper East Side-Carnegie Hill,3805,4698.507096,1351864.835,0,0,0,0,0,0,0,0,0,0,0
31,31,184,1,Manhattan,018400,1018400,E,MN34,East Harlem North,3804,5771.874347,1903568.321,0,0,0,0,0,0,0,0,0,0,0
32,32,190,1,Manhattan,019000,1019000,I,MN11,Central Harlem South,3803,4231.827159,1117371.728,0,0,0,0,0,0,0,0,0,0,0
33,33,201.01,1,Manhattan,020101,1020101,I,MN09,Morningside Heights,3802,3329.881695,593526.6576,0,0,0,0,0,0,0,0,0,0,0
34,34,201.02,1,Manhattan,020102,1020102,E,MN11,Central Harlem South,3803,3745.871035,897067.8827,0,0,0,0,0,0,0,0,0,0,0
35,35,206,1,Manhattan,020600,1020600,E,MN03,Central Harlem North-Polo Grounds,3803,5176.873151,1602693.802,0,0,0,0,0,0,0,0,0,0,0
36,36,218,1,Manhattan,021800,1021800,E,MN11,Central Harlem South,3803,5775.546074,1958240.312,0,0,0,0,0,0,0,0,0,0,0
37,37,220,1,Manhattan,022000,1022000,E,MN11,Central Harlem South,3803,5691.514036,1882932.86,0,0,0,0,0,0,0,0,0,0,0
38,38,229,1,Manhattan,022900,1022900,E,MN04,Hamilton Heights,3802,7284.207936,2186714.274,0,0,0,0,0,0,0,0,0,0,0
39,39,234,1,Manhattan,023400,1023400,E,MN03,Central Harlem North-Polo Grounds,3803,5656.092134,1164816.981,0,0,0,0,0,0,0,0,0,0,0
40,40,239,1,Manhattan,023900,1023900,E,MN36,Washington Heights South,3801,3635.962134,687269.0362,0,0,0,0,0,0,0,0,0,0,0
41,41,249,1,Manhattan,024900,1024900,E,MN36,Washington Heights South,3801,3927.821475,652856.3083,0,0,0,0,0,0,0,0,0,0,0
42,42,253,1,Manhattan,025300,1025300,E,MN36,Washington Heights South,3801,5651.317584,1822960.362,0,0,0,0,0,0,0,0,0,0,0
43,43,257,1,Manhattan,025700,1025700,E,MN11,Central Harlem South,3803,6060.119375,1550590.164,0,0,0,0,0,0,0,0,0,0,0
44,44,261,1,Manhattan,026100,1026100,E,MN36,Washington Heights South,3801,5532.1001,1681539.122,0,0,0,0,0,0,0,0,0,0,0
45,45,263,1,Manhattan,026300,1026300,E,MN36,Washington Heights South,3801,5730.541687,1691892.076,0,0,0,0,0,0,0,0,0,0,0
46,46,267,1,Manhattan,026700,1026700,E,MN35,Washington Heights North,3801,3869.447222,518771.5943,0,0,0,0,0,0,0,0,0,0,0
47,47,269,1,Manhattan,026900,1026900,E,MN35,Washington Heights North,3801,6017.036711,1889655.623,0,0,0,0,0,0,0,0,0,0,0
48,48,277,1,Manhattan,027700,1027700,E,MN35,Washington Heights North,3801,5903.152134,1760155.942,0,0,0,0,0,0,0,0,0,0,0
49,49,5.01,3,Brooklyn,000501,3000501,I,BK09,Brooklyn Heights-Cobble Hill,4004,4828.170042,901506.9925,1,0,1,1,0,0,0,0,0,0,0
50,50,20,3,Brooklyn,002000,3002000,E,BK32,Sunset Park West,4012,5426.067279,1620770.163,0,0,0,0,0,0,0,0,0,0,0
51,51,41,3,Brooklyn,004100,3004100,I,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,4004,5283.85666,1744094.395,1,0,1,1,0,0,0,0,0,0,0
52,52,52.01,3,Brooklyn,005201,3005201,E,BK31,Bay Ridge,4013,5520.047898,1448244.168,0,0,0,0,0,0,0,0,0,0,0
53,53,52.02,3,Brooklyn,005202,3005202,I,BK31,Bay Ridge,4013,5190.713908,1398134.484,0,0,0,0,0,0,0,0,0,0,0
54,54,58,3,Brooklyn,005800,3005800,E,BK31,Bay Ridge,4013,6098.167799,2080303.314,0,0,0,0,0,0,0,0,0,0,0
55,55,60,3,Brooklyn,006000,3006000,I,BK31,Bay Ridge,4013,5498.334387,1639073.926,0,0,0,0,0,0,0,0,0,0,0
