h_county_tract,average_commute_time,average_walk_distance,number_of_commuters
005000100,2730.46107784,873.967835168,167
005000200,1685.34059406,338.166470065,1010
005000400,1435.83665008,323.957150019,1206
005001600,1095.81845919,268.938008332,1311
005001900,1531.75,517.355704099,344
005002000,1132.53919373,251.408755491,1786
005002300,977.564681725,313.244865541,974
005002400,3858.02272727,1290.71086218,88
005002500,1124.50996016,345.741486504,753
005002701,1351.06030151,358.589073058,597
005002702,1044.6713198,266.869120653,788
005002800,1034.00628366,239.331643889,1114
005003100,1360.11046512,410.485684122,344
005003300,1189.85555556,426.705478027,720
005003500,1288.06990014,395.928648878,701
005003700,2412.78195489,873.645649835,133
005003800,2374.77906977,602.323170701,344
005003900,882.211462451,320.114960994,1012
005004001,2015.21082621,652.878565835,351
005004100,1023.8246888,359.025097431,964
005004200,1070.454,224.445325553,1500
005004300,1008.29676871,335.036019909,1176
005004400,1436.8119469,451.385820421,904
005004600,1903.61993769,377.358800716,321
005004800,1295.67760342,352.063586412,701
005005001,1475.53008596,470.562472304,698
005005002,1185.21927711,267.602456273,830
005005100,824.727433628,277.219477283,1130
005005200,2090.88916877,684.029301526,397
005005300,1517.26186292,483.819803426,569
005005400,1174.16825397,272.837310307,945
005005600,1604.2852292,536.91681162,589
005005902,1296.66854991,483.778079037,531
005006000,1866.02985075,507.439848702,335
005006100,0.727272727273,1.0,22
005006200,1023.82139848,310.577510239,1187
005006300,934.095022624,342.82986758,1105
005006400,1304.95320197,372.061191006,812
005006500,876.31082423,277.660627651,1007
005006700,855.268219384,287.326781598,1331
005006800,1477.37752161,422.187586638,694
005006900,901.097674419,341.898497435,1290
005007000,1292.20963855,336.66335061,830
005007100,1404.70039683,460.144575828,504
005007200,1211.72473532,297.138253727,1039
005007300,1125.11070999,313.565370067,831
005007400,1463.24836601,421.174624364,765
005007500,936.730621642,303.343788549,1303
005007600,1275.86904762,306.559269325,924
005007700,1491.54613936,443.328106777,531
005007800,1070.71538462,355.469690016,1300
005007900,935.807692308,283.538023899,1170
005008300,856.231939163,261.232669321,1315
005008400,1812.60332103,406.246455122,542
005008500,1091.25867195,341.95622671,1009
005008600,1426.85545024,328.426410959,844
005008700,865.498746867,246.213323396,1197
005008900,1060.38512616,306.177278025,753
005009000,1444.28825623,477.337514863,843
005009200,1029.48484848,234.957875939,1188
005009300,869.529457364,234.868179046,1290
005009600,1611.08614232,486.66989099,534
005009800,1034.83862876,287.141336151,1196
005011000,3553.08130081,1475.22583263,123
005011502,1107.46260069,382.417256546,869
005011700,1374.32478632,486.953539601,468
005011800,1304.1672326,236.600216512,1178
005011900,847.12578125,238.006636671,1280
005012101,1438.88195616,407.843134614,593
005012102,1388.25108225,364.857504214,462
005012300,1095.47921225,304.827477377,914
005012500,1216.64467005,333.672464275,788
005012701,1168.09965035,327.741407118,572
005012901,1258.79289026,334.744344644,647
005013000,2235.93247588,422.906138722,311
005013100,1233.40388769,394.799849517,926
005013200,1482.75671277,334.600842276,1229
005013300,974.638467678,291.557075667,1253
005013500,1320.41708543,468.534658554,796
005013800,1268.2920354,234.383962605,904
005014100,898.473972603,244.679960194,1095
005014300,1811.71980676,655.283211796,207
005014400,1365.51215423,350.316111413,1193
005014500,991.769307924,323.053945912,997
005014701,1109.9303675,348.178684479,1034
005014702,1139.19429778,409.467009978,947
005014900,1087.23245614,309.749022894,912
005015100,1051.2700088,316.515534554,1137
005015200,2072.30912863,494.823476662,482
005015300,1272.24794521,358.783712513,730
005015500,1345.85897436,332.915761828,702
005015700,1276.85224586,439.064549893,846
005015800,2558.34083601,616.811460772,311
005015900,1250.63136456,357.758729874,491
005016000,1361.047105,277.939741387,1019
005016100,1270.20316869,297.89275246,1073
005016200,1816.2262931,444.650531127,464
005016300,3505.35294118,1347.24840792,51
005016400,1729.08583691,382.464950561,466
005016500,1685.58282209,704.055553067,326
005016600,1866.49458484,474.480256764,554
005016700,1627.67636986,601.670176096,584
005016900,2113.43553009,669.34431389,349
005017100,3041.75,1022.43818945,76
005017300,1038.01741023,376.174778395,919
005017500,931.419123506,279.956234077,1255
005017701,1454.26267281,554.689655982,651
005017702,1223.47534766,392.855271056,791
005017901,1072.65267576,350.693516263,953
005017902,1274.10015408,385.525323574,649
005018101,1495.4437401,527.925273594,631
005018102,982.613124388,332.751753248,1021
005018301,1269.01293661,405.184943447,773
005018302,1124.27249022,418.197570055,767
005018400,1437.87241379,351.757982325,870
005018500,832.840232859,241.109892465,1546
005018900,802.536931818,272.894549747,1408
005019300,1115.96871945,392.280878573,1023
005019400,1965.45643939,541.950899164,528
005019500,761.786630655,247.652155005,1481
005019700,820.060251046,202.714423638,1195
005019900,877.306149733,287.055699211,1496
005020000,1172.46161515,303.112687583,1003
005020100,1511.9526387,610.787765774,739
005020200,1135.40707965,315.645425523,565
005020400,1601.3481717,510.402874773,629
005020501,1083.38704319,390.237466919,1204
005020502,1481.00232019,511.569157282,431
005020601,1567.67319277,423.193953991,664
005020900,1179.60348837,332.861357247,860
005021001,933.977469671,283.708365874,1731
005021002,962.796967699,324.117994681,1517
005021100,1245.39325843,365.398882248,979
005021200,1070.76244131,299.402009459,1065
005021301,1920.73927393,596.648981982,303
005021302,1243.46121593,447.862917299,954
005021501,1395.91603053,444.176598585,786
005021502,1059.59355509,333.705273723,962
005021601,1243.82508631,402.075696816,869
005021602,994.238888889,300.67814358,1080
005021700,1306.6969697,348.239281939,759
005021800,1179.63390663,327.4189761,1221
005021900,1922.8220339,544.658325855,236
005022000,2431.55598456,640.813982203,259
005022101,1292.87615283,367.450850703,759
005022102,1235.39601494,363.701925785,803
005022200,1257.08578745,320.155876685,781
005022300,974.347150259,253.309698507,965
005022401,1413.3430127,346.230491614,551
005022403,1465.0495356,426.285888066,646
005022404,1179.3677686,318.447911288,968
005022500,983.347310127,300.037558335,1264
005022701,1001.08699719,276.710886788,1069
005022702,1746.38591549,505.395331757,355
005022703,1004.79166667,337.492288532,528
005022800,1176.56449045,366.493428348,1256
005022901,1120.92114286,396.993758753,875
005022902,1134.4420191,448.92897377,733
005023000,1701.5373913,487.371041789,575
005023100,1664.63872832,620.270915205,346
005023200,1454.61815562,423.537134785,694
005023301,1149.3825431,346.171550159,928
005023302,1289.8025974,463.420407683,770
005023501,1298.62349398,386.75858078,664
005023502,1184.08493151,376.218529219,730
005023600,2066.41353383,491.846930501,399
005023702,1579.18900344,411.460026974,291
005023703,1254.47065593,381.455610786,869
005023704,1382.01788618,364.267898685,615
005023800,1713.30383973,476.452327813,599
005023900,988.644216691,263.234606572,1366
005024000,1467.7100894,479.199721208,783
005024100,976.805604203,266.883584477,1142
005024300,992.951598963,302.071460147,1157
005024400,1757.50483559,479.85261907,517
005024501,1314.38089005,472.464471517,764
005024502,1212.7987013,440.328390995,770
005024600,1607.14555766,500.639257498,529
005024700,1603.57142857,602.528440592,399
005024800,1239.08152174,310.435175414,736
005024900,3174.76363636,1377.64534135,110
005025000,1569.15455951,442.824743558,647
005025100,1027.80920502,348.58821917,1195
005025200,1343.95125554,344.450653013,677
005025300,895.262074426,271.934120473,1263
005025400,1532.10720562,420.155563023,569
005025500,1092.71957672,380.431141218,1134
