,lat,lon,tract
107,40.7522506715,-73.989703076,"(u'1', u'010900')"
108,40.7621469328,-73.9631366708,"(u'1', u'011000')"
109,40.7546471053,-73.9953883023,"(u'1', u'011100')"
110,40.7639779011,-73.9753457329,"(u'1', u'011201')"
111,40.7626039483,-73.9721311778,"(u'1', u'011202')"
112,40.7612304682,-73.9688865216,"(u'1', u'011203')"
113,40.7547751031,-73.9878699356,"(u'1', u'011300')"
114,40.764840746,-73.9704938413,"(u'1', u'011401')"
115,40.7634825774,-73.9672788765,"(u'1', u'011402')"
116,40.7571677566,-73.9935488318,"(u'1', u'011500')"
117,40.7633978337,-73.9561497039,"(u'1', u'011600')"
118,40.759810077,-73.9996541111,"(u'1', u'011700')"
119,40.765274736,-73.9608552554,"(u'1', u'011800')"
120,40.757315185,-73.9860247732,"(u'1', u'011900')"
121,40.7669261007,-73.964766335,"(u'1', u'012000')"
122,40.7597098418,-73.9916993986,"(u'1', u'012100')"
123,40.7682811777,-73.967984051,"(u'1', u'012200')"
124,40.7666997316,-73.9538356738,"(u'1', u'012400')"
125,40.7598406404,-73.9841755311,"(u'1', u'012500')"
126,40.7684672799,-73.9585256313,"(u'1', u'012600')"
127,40.7622381273,-73.9898556571,"(u'1', u'012700')"
128,40.7713808506,-73.9615177719,"(u'1', u'012800')"
129,40.7635935067,-73.9970449213,"(u'1', u'012900')"
130,40.7727360449,-73.9647335331,"(u'1', u'013000')"
131,40.7623458096,-73.9823535094,"(u'1', u'013100')"
132,40.7696757392,-73.9513284165,"(u'1', u'013200')"
133,40.7647380436,-73.9880349403,"(u'1', u'013300')"
134,40.7717020592,-73.9561656102,"(u'1', u'013400')"
135,40.7687889534,-73.9932926795,"(u'1', u'013500')"
136,40.7728151753,-73.9487054929,"(u'1', u'013600')"
137,40.7652140306,-73.9802378725,"(u'1', u'013700')"
138,40.7749222035,-73.9538152448,"(u'1', u'013800')"
139,40.7672921843,-73.9861702102,"(u'1', u'013900')"
140,40.7759139701,-73.9582081907,"(u'1', u'014000')"
141,40.7772710873,-73.9614251872,"(u'1', u'014200')"
142,40.7824727662,-73.9655588508,"(u'1', u'014300')"
143,40.7752488506,-73.9475518775,"(u'1', u'014401')"
144,40.776235447,-73.9453431194,"(u'1', u'014402')"
145,40.7698196719,-73.9842785151,"(u'1', u'014500')"
146,40.7771917267,-73.9521609497,"(u'1', u'014601')"
147,40.7788147354,-73.9509753885,"(u'1', u'014602')"
148,40.7713284062,-73.9888038038,"(u'1', u'014700')"
149,40.7788410003,-73.9560728839,"(u'1', u'014801')"
150,40.7810930315,-73.9544307785,"(u'1', u'014802')"
151,40.7723514135,-73.9824866961,"(u'1', u'014900')"
152,40.7801961131,-73.9592835541,"(u'1', u'015001')"
153,40.7824488976,-73.9576472122,"(u'1', u'015002')"
154,40.7741422779,-73.9896103211,"(u'1', u'015100')"
155,40.7797666578,-73.9445178417,"(u'1', u'015200')"
156,40.7748577459,-73.9806642147,"(u'1', u'015300')"
157,40.7813492199,-73.9491242154,"(u'1', u'015400')"
158,40.777386619,-73.9866341434,"(u'1', u'015500')"
159,40.7835685974,-73.9475023102,"(u'1', u'015601')"
160,40.785181619,-73.9463243935,"(u'1', u'015602')"
161,40.7774184825,-73.9787964998,"(u'1', u'015700')"
162,40.7842780382,-73.9521035016,"(u'1', u'015801')"
163,40.7865227163,-73.950474611,"(u'1', u'015802')"
164,40.7796567379,-73.9845464697,"(u'1', u'015900')"
165,40.7856349278,-73.9553223099,"(u'1', u'016001')"
166,40.7878791256,-73.9536867072,"(u'1', u'016002')"
167,40.7799493865,-73.9771931862,"(u'1', u'016100')"
168,40.7879639464,-73.9396710964,"(u'1', u'016200')"
169,40.7826484257,-73.9836674682,"(u'1', u'016300')"
170,40.787712341,-73.9444723353,"(u'1', u'016400')"
171,40.7823580375,-73.9749981559,"(u'1', u'016500')"
172,40.7893696017,-73.948384164,"(u'1', u'016600')"
173,40.7852729887,-73.9810066214,"(u'1', u'016700')"
174,40.7910679239,-73.9513550525,"(u'1', u'016800')"
175,40.7851956637,-73.9731196566,"(u'1', u'016900')"
176,40.7909025846,-73.9421468468,"(u'1', u'017000')"
177,40.787825016,-73.9792772347,"(u'1', u'017100')"
178,40.7938247502,-73.945133634,"(u'1', u'017200')"
179,40.7877702194,-73.9712359918,"(u'1', u'017300')"
180,40.7948866048,-73.948575092,"(u'1', u'017401')"
181,40.7968006166,-73.9471593556,"(u'1', u'017402')"
182,40.7904080837,-73.9775207484,"(u'1', u'017500')"
183,40.7903080579,-73.9693887202,"(u'1', u'017700')"
184,40.794780837,-73.9336403482,"(u'1', u'017800')"
185,40.7929422995,-73.9756784822,"(u'1', u'017900')"
186,40.794401898,-73.9395961934,"(u'1', u'018000')"
187,40.7925553412,-73.9677460936,"(u'1', u'018100')"
188,40.7983201226,-73.9418469897,"(u'1', u'018200')"
189,40.7955144632,-73.9738445059,"(u'1', u'018300')"
190,40.7996851816,-73.9450653813,"(u'1', u'018400')"
191,40.7944995247,-73.9663592597,"(u'1', u'018500')"
